seqNumber,docID,edinetCode,secCode,JCN,filerName,fundCode,ordinanceCode,formCode,docTypeCode,periodStart,periodEnd,submitDateTime,docDescription,issuerEdinetCode,subjectEdinetCode,subsidiaryEdinetCode,currentReportReason,parentDocID,opeDateTime,withdrawalStatus,docInfoEditStatus,disclosureStatus,xbrlFlag,pdfFlag,attachDocFlag,englishDocFlag
1,S100PELH,E12444,,8010001114914,三井住友トラスト・アセットマネジメント株式会社,G10559,030,07A000,120,2021-09-09,2022-09-08,2022-12-08 09:00,有価証券報告書（内国投資信託受益証券）－第8期(令和3年9月9日－令和4年9月8日),,,,,,,0,0,0,1,1,1,0
2,S100PQZ0,E10677,,9010001021473,アセットマネジメントＯｎｅ株式会社,G11910,030,995000,180,,,2022-12-08 09:00,臨時報告書（内国特定有価証券）,,,,第29条第2項第4号,,,0,0,0,1,1,0,0
3,S100PR0N,E13410,,3010005005643,日本都市ファンド投資法人,G03274,030,995000,180,,,2022-12-08 09:00,臨時報告書（内国特定有価証券）,,,,第29条第2項第3号,,,0,0,0,1,1,0,0
4,S100POFO,E12447,,9011301011486,朝日ライフ　アセットマネジメント株式会社,G13008,030,10A000,160,2022-03-10,2023-03-09,2022-12-08 09:00,半期報告書（内国投資信託受益証券）－第5期(令和4年3月10日－令和5年3月9日),,,,,,,0,0,0,1,1,0,0
5,S100PEW2,E12448,,8010401040306,明治安田アセットマネジメント株式会社,G08107,030,10A000,160,2022-03-10,2023-03-09,2022-12-08 09:01,半期報告書（内国投資信託受益証券）－第23期(令和4年3月10日－令和5年3月9日),,,,,,,0,0,0,1,1,0,0
6,S100PO6P,E06748,,2010001049257,大和アセットマネジメント株式会社,G13929,030,07A000,120,2022-03-16,2022-09-15,2022-12-08 09:01,有価証券報告書（内国投資信託受益証券）－第12期(令和4年3月16日－令和4年9月15日),,,,,,,0,0,0,1,1,1,0
7,S100PR0Q,E13410,,3010005005643,日本都市ファンド投資法人,G03274,030,170001,090,,,2022-12-08 09:01,訂正発行登録書（内国投資証券）,,,,,S100L3PX,,0,0,0,0,1,0,0
8,S100PPZA,E12430,,8010401072159,日興アセットマネジメント株式会社,G01725,030,995000,180,,,2022-12-08 09:01,臨時報告書（内国特定有価証券）,,,,第29条第2項第4号,,,0,0,0,1,1,0,0
9,S100POE4,E08957,,4010401049128,三井住友ＤＳアセットマネジメント株式会社,G02363,030,07A000,120,2022-03-15,2022-09-14,2022-12-08 09:01,有価証券報告書（内国投資信託受益証券）－第51期(令和4年3月15日－令和4年9月14日),,,,,,,0,0,0,1,1,1,0
10,S100PEW3,E12448,,8010401040306,明治安田アセットマネジメント株式会社,G08107,030,04A000,030,,,2022-12-08 09:01,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0
11,S100PO6Q,E06748,,2010001049257,大和アセットマネジメント株式会社,G13929,030,04A000,030,,,2022-12-08 09:01,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0
12,S100PQ89,E14601,,2010401079382,ＰａｙＰａｙアセットマネジメント株式会社,G14493,030,10A000,160,2022-03-16,2023-03-27,2022-12-08 09:01,半期報告書（内国投資信託受益証券）－第1期(令和4年3月16日－令和5年3月27日),,,,,,,0,0,0,1,1,0,0
13,S100PELI,E12444,,8010001114914,三井住友トラスト・アセットマネジメント株式会社,G10559,030,04A000,030,,,2022-12-08 09:01,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0
