seqNumber,docID,edinetCode,secCode,JCN,filerName,fundCode,ordinanceCode,formCode,docTypeCode,periodStart,periodEnd,submitDateTime,docDescription,issuerEdinetCode,subjectEdinetCode,subsidiaryEdinetCode,currentReportReason,parentDocID,opeDateTime,withdrawalStatus,docInfoEditStatus,disclosureStatus,xbrlFlag,pdfFlag,attachDocFlag,englishDocFlag,csvFlag,legalStatus
1,S100S1NZ,E13447,,2010401045054,ＳＢＩアセットマネジメント株式会社,G11554,030,995000,180,,,2023-10-25 09:00,臨時報告書（内国特定有価証券）,,,,第29条第2項第4号,,,0,0,0,1,1,0,0,1,1
2,S100RXGU,E11518,,9010001034450,三菱ＵＦＪアセットマネジメント株式会社,G08093,030,10A000,160,2023-01-27,2024-01-26,2023-10-25 09:00,半期報告書（内国投資信託受益証券）－第14期(2023/01/27－2024/01/26),,,,,,,0,0,0,1,1,0,0,1,1
3,S100RVL0,E10439,,4010001027269,ピクテ・ジャパン株式会社,G07913,030,04A000,030,,,2023-10-25 09:00,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0,1,1
4,S100RUEB,E11518,,9010001034450,三菱ＵＦＪアセットマネジメント株式会社,G07682,030,10A000,160,2023-01-27,2024-01-26,2023-10-25 09:00,半期報告書（内国投資信託受益証券）－第15期(2023/01/27－2024/01/26),,,,,,,0,0,0,1,1,0,0,1,1
5,S100S1NP,E13447,,2010401045054,ＳＢＩアセットマネジメント株式会社,G09272,030,995000,180,,,2023-10-25 09:00,臨時報告書（内国特定有価証券）,,,,第29条第2項第4号,,,0,0,0,1,1,0,0,1,1
6,S100RCKF,E12444,,8010001114914,三井住友トラスト・アセットマネジメント株式会社,G04493,030,07A000,120,2023-01-26,2023-07-25,2023-10-25 09:00,有価証券報告書（内国投資信託受益証券）－第36期(2023/01/26－2023/07/25),,,,,,,0,0,0,1,1,1,0,1,1
7,S100RUCN,E12441,,3010001062358,ＳＢＩ岡三アセットマネジメント株式会社,G04268,030,995000,180,,,2023-10-25 09:01,臨時報告書（内国特定有価証券）,,,,第29条第2項第4号,,,0,0,0,1,1,0,0,1,1
8,S100RVLI,E09666,,9010001062807,アムンディ・ジャパン株式会社,G04481,030,07A000,120,2023-01-26,2023-07-25,2023-10-25 09:01,有価証券報告書（内国投資信託受益証券）－第36期(2023/01/26－2023/07/25),,,,,,,0,0,0,1,1,1,0,1,1
9,S100RZXM,E12444,,8010001114914,三井住友トラスト・アセットマネジメント株式会社,G08684,030,07A000,120,2022-07-26,2023-07-25,2023-10-25 09:01,有価証券報告書（内国投資信託受益証券）－第13期(2022/07/26－2023/07/25),,,,,,,0,0,0,1,1,1,0,1,1
10,S100RZAZ,E11518,,9010001034450,三菱ＵＦＪアセットマネジメント株式会社,G07682,030,04A001,040,,,2023-10-25 09:01,訂正有価証券届出書（内国投資信託受益証券）,,,,,S100QFGT,,0,0,0,1,1,1,0,1,1
11,S100RVL1,E10439,,4010001027269,ピクテ・ジャパン株式会社,G07913,030,07A000,120,2023-01-26,2023-07-25,2023-10-25 09:01,有価証券報告書（内国投資信託受益証券）－第27期(2023/01/26－2023/07/25),,,,,,,0,0,0,1,1,1,0,1,1
12,S100RX8B,E12444,,8010001114914,三井住友トラスト・アセットマネジメント株式会社,G08683,030,07A000,120,2022-07-26,2023-07-25,2023-10-25 09:01,有価証券報告書（内国投資信託受益証券）－第13期(2022/07/26－2023/07/25),,,,,,,0,0,0,1,1,1,0,1,1
13,S100RVLJ,E09666,,9010001062807,アムンディ・ジャパン株式会社,G04481,030,04A000,030,,,2023-10-25 09:02,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0,1,1
14,S100RWO7,E11518,,9010001034450,三菱ＵＦＪアセットマネジメント株式会社,G07683,030,10A000,160,2023-01-27,2024-01-26,2023-10-25 09:02,半期報告書（内国投資信託受益証券）－第15期(2023/01/27－2024/01/26),,,,,,,0,0,0,1,1,0,0,1,1
15,S100S008,E12453,,9010001025953,ニッセイアセットマネジメント株式会社,G01117,030,07A000,120,2023-01-26,2023-07-25,2023-10-25 09:02,有価証券報告書（内国投資信託受益証券）－第48期(2023/01/26－2023/07/25),,,,,,,0,0,0,1,1,1,0,1,1
16,S100RXHD,E11518,,9010001034450,三菱ＵＦＪアセットマネジメント株式会社,G08093,030,04A001,040,,,2023-10-25 09:02,訂正有価証券届出書（内国投資信託受益証券）,,,,,S100QK41,,0,0,0,1,1,1,0,1,1
17,S100S1FV,E10677,,9010001021473,アセットマネジメントＯｎｅ株式会社,G12005,030,10A000,160,2023-01-26,2024-01-25,2023-10-25 09:02,半期報告書（内国投資信託受益証券）－第17期(2023/01/26－2024/01/25),,,,,,,0,0,0,1,1,0,0,1,1
18,S100RUCP,E12441,,3010001062358,ＳＢＩ岡三アセットマネジメント株式会社,G14713,030,995000,180,,,2023-10-25 09:03,臨時報告書（内国特定有価証券）,,,,第29条第2項第4号,,,0,0,0,1,1,0,0,1,1
19,S100RZ9O,E11518,,9010001034450,三菱ＵＦＪアセットマネジメント株式会社,G07683,030,04A001,040,,,2023-10-25 09:03,訂正有価証券届出書（内国投資信託受益証券）,,,,,S100QFGW,,0,0,0,1,1,1,0,1,1
20,S100RPH8,E12430,,8010401072159,日興アセットマネジメント株式会社,G12863,030,10A000,160,2023-01-26,2024-01-25,2023-10-25 09:03,半期報告書（内国投資信託受益証券）－第6期(2023/01/26－2024/01/25),,,,,,,0,0,0,1,1,0,0,1,1
21,S100S00C,E12453,,9010001025953,ニッセイアセットマネジメント株式会社,G01117,030,04A000,030,,,2023-10-25 09:03,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0,1,1
22,S100S1FU,E10677,,9010001021473,アセットマネジメントＯｎｅ株式会社,G12005,030,04A000,030,,,2023-10-25 09:03,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0,1,1
23,S100RZXL,E12444,,8010001114914,三井住友トラスト・アセットマネジメント株式会社,G08684,030,04A000,030,,,2023-10-25 09:03,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0,1,1
24,S100RW7K,E11518,,9010001034450,三菱ＵＦＪアセットマネジメント株式会社,G07684,030,10A000,160,2023-01-27,2024-01-26,2023-10-25 09:04,半期報告書（内国投資信託受益証券）－第15期(2023/01/27－2024/01/26),,,,,,,0,0,0,1,1,0,0,1,1
