日付,コード,銘柄名,33業種コード,17業種コード,規模コード,市場コード,法人番号,法人名,法人名ふりがな,法人名英語,本店所在地,設立,時価総額
20231031,1301,極洋,50,1,7,P,1010401033225,株式会社極洋,きょくよう,"KYOKUYO CO.,LTD",東京都港区赤坂３丁目３番５号,1937年（昭和12年）9月3日（極洋捕鯨株式会社）,41418
20231031,1332,ニッスイ,50,1,4,P,1010001016860,株式会社ニッスイ,にっすい,,東京都港区西新橋１丁目３番１号,1943年3月31日（創業：1911年）,228449
20231031,1333,マルハニチロ,50,1,4,P,2010601040697,マルハニチロ株式会社,まるはにちろ,,東京都江東区豊洲３丁目２番２０号,1943年（昭和18年）3月31日（西大洋漁業統制株式会社）（創業：1880年（明治13年））,141899
20231031,1375,雪国まいたけ,50,1,7,P,1010001185037,株式会社雪国まいたけ,ゆきぐにまいたけ,,新潟県南魚沼市余川８９番地,1983年（昭和58年）7月,38115
20231031,1376,カネコ種苗,50,1,7,S,5070001000715,カネコ種苗株式会社,かねこしゅびょう,,群馬県前橋市古市町１丁目５０番地１２,1947年（昭和22年）6月17日,16882
20231031,1377,サカタのタネ,50,1,6,P,6020001008662,株式会社サカタのタネ,さかたのたね,,神奈川県横浜市都筑区仲町台２丁目７番１号,1942年12月11日（坂田種苗株式会社）1913年（大正2年）創業（坂田農園）[3],189643
20231031,1379,ホクト,50,1,6,P,6100001003151,ホクト株式会社,ほくと,,長野県長野市大字南堀１３８番地１,1964年（昭和39年）7月22日（デラップス商事株式会社）,58278
20231031,1380,秋川牧園,50,1,-,S,9250001000008,株式会社秋川牧園,あきかわぼくえん,,山口県山口市仁保下郷１０３１７番地,1979年5月25日,4296
20231031,1381,アクシーズ,50,1,-,S,5340001000258,株式会社アクシーズ,あくしーず,,鹿児島県鹿児島市草牟田２丁目１番８号,1962年11月13日,16122
20231031,1382,ホーブ,50,1,-,S,9450001002677,株式会社ホーブ,ほーぶ,,北海道上川郡東神楽町１４号北１番地,1987年6月22日,1728
20231031,1383,ベルグアース,50,1,-,S,9500001015681,ベルグアース株式会社,べるぐあーす,,愛媛県宇和島市津島町北灘甲８８番地１,2001年1月18日,5315
20231031,1384,ホクリヨウ,50,1,7,S,2430001028862,株式会社ホクリヨウ,ほくりよう,,北海道札幌市白石区中央二条３丁目６番１５号,1949年（昭和24年）5月17日,9144
20231031,1400,ルーデン・ホールディングス,2050,3,-,G,1011101035809,ルーデン・ホールディングス株式会社,るーでんほーるでぃんぐす,,東京都渋谷区桜丘町２０番１号渋谷インフォスタワー２Ｆ,2000年6月29日,1067
20231031,1401,エムビーエス,2050,3,-,G,9250001004074,株式会社エムビーエス,えむびーえす,,山口県宇部市大字西岐波１１７３番地１６２,2001年7月17日,4492
20231031,1407,ウエストホールディングス,2050,3,-,S,9240001016913,株式会社ウエストホールディングス,うえすとほーるでぃんぐす,,広島県広島市西区楠木町１丁目１５番２４号,2006年3月1日,151200
20231031,1414,ショーボンドホールディングス,2050,3,4,P,8010001135778,ショーボンドホールディングス株式会社,しょーぼんどほーるでぃんぐす,,東京都中央区日本橋箱崎町７番８号,2008年1月4日,344103
